Тысяча сообщений,Отказов,Сбоев,Занятых,Наличие генератора,Затраченное время,МО,СКО
1,0,1,0,0,292.272,0,0
2,1,0,0,0,321.92,0,0
3,0,1,1,0,323.48400000000004,0,0
4,0,0,0,0,321.92,0,0
5,0,1,1,0,323.48400000000004,0,0
6,1,0,0,0,351.84000000000003,0,0
7,0,1,1,0,353.404,0,0
8,0,1,0,0,352.11199999999997,0,0
9,0,0,0,0,351.84000000000003,0,0
10,0,2,1,0,353.67600000000004,0,0
11,0,0,0,0,351.84000000000003,0,0
12,0,0,2,0,354.424,0,0
13,0,0,2,0,354.424,0,0
14,0,0,1,0,353.13199999999995,0,0
15,0,0,0,0,351.84000000000003,0,0
16,0,0,1,0,353.13199999999995,0,0
17,1,0,0,0,381.76,0,0
18,1,2,0,0,412.224,0,0
19,0,0,2,0,414.264,0,0
20,0,0,1,0,412.972,0,0
0,4,9,13,0,7085.964,354.2982,19023.924623199993
