?????? ?????????,???????,?????,??????? ?????,??????? ??????????,??????????? ?????,??,???
1,0,0,0,0,321.92,0,0
2,0,1,0,0,322.192,0,0
3,0,0,2,0,324.504,0,0
4,0,1,2,0,324.776,0,0
5,1,0,1,0,353.132,0,0
6,1,1,0,0,382.032,0,0
7,0,2,0,0,382.304,0,0
8,0,0,0,0,381.76,0,0
9,0,0,0,0,381.76,0,0
10,0,2,0,0,382.304,0,0
11,0,1,0,0,382.032,0,0
12,0,0,0,0,381.76,0,0
13,0,0,0,0,381.76,0,0
14,0,0,0,0,381.76,0,0
15,0,1,3,0,385.908,0,0
16,0,0,0,0,381.76,0,0
17,0,0,1,0,383.051,0,0
18,0,1,2,0,384.616,0,0
19,1,1,0,0,411.952,0,0
20,0,2,1,0,413.516,0,0
0,3,13,12,0,0,372.239,27.027
